"","group","year","id","group_size","hr_area_low","hr_area_mean","hr_area_high","hr_area_sd"
"65","fl",2011,"fl_2011",19,2.55574967774055,4.09729084728091,5.99676207539771,0.877809285116622
"66","fl",2012,"fl_2012",19,3.13005283863303,5.26151138901982,7.93747305939934,1.22638270937916
"67","fl",2013,"fl_2013",21,2.09874312227278,3.32922857561114,4.83902725455397,0.699052074561527
"68","fl",2014,"fl_2014",23,1.54166353172908,2.1222461190337,2.79417050082831,0.319517083953886
"69","fl",2015,"fl_2015",21,2.25042366457417,3.45569079077514,4.91530747480975,0.679817298529485
"70","fl",2016,"fl_2016",25,2.10690625096155,3.35552744029282,4.89002319952493,0.709978813409024
"71","fl",2017,"fl_2017",26,3.28778585762127,6.28962967441556,10.2488806301832,1.7757894827964
"72","fl",2018,"fl_2018",27,2.65815720928091,4.7082997534358,7.3348390505137,1.19303108194714
"73","fl",2019,"fl_2019",28,1.90057386002374,3.58782586888123,5.80219900136506,0.995312536056461
"74","mk",2004,"mk_2004",13,1.73787349158361,2.63514612457253,3.71620575729065,0.504676598394654
"75","mk",2005,"mk_2005",16,2.36226783103974,3.2600518926434,4.30018917615199,0.494367690079656
"76","mk",2006,"mk_2006",19,2.80677502503735,3.92319533521058,5.22363211209021,0.616545175268588
"77","mk",2007,"mk_2007",15,1.91233171275557,2.75360941380488,3.74583992168165,0.467731685950531
"78","mk",2008,"mk_2008",16,1.51691808393069,2.86392429787079,4.63183446120184,0.794621524814068
"79","mk",2009,"mk_2009",18,1.49488975531018,2.67998243716653,4.20528161833638,0.691426495669948
"80","mk",2011,"mk_2011",17,1.40731067688801,1.95603970084944,2.59369602820723,0.302649324316128
"81","mk",2012,"mk_2012",22,1.81837615924357,3.25315755562351,5.09836217458804,0.836731126363386
"82","mk",2013,"mk_2013",23,0.765243225312194,1.6722951595713,2.92785950537643,0.551687826546999
"83","mk",2017,"mk_2017",19,1.64556416080778,3.18959378682469,5.23601859494442,0.915932253606284
"84","mk",2019,"mk_2019",19,0.497230602263594,0.954750980877519,1.55902547545333,0.270866039079015
"85","nm",2009,"nm_2009",13,1.02999246458632,1.8725949347419,2.96288160705304,0.493083964914977
"86","nm",2010,"nm_2010",15,1.61404585809064,2.48201210985442,3.53375291478732,0.489721187932827
"87","nm",2011,"nm_2011",12,1.69133565762165,2.4795076299282,3.41605628429096,0.439979751701355
"88","nm",2012,"nm_2012",14,0.663677684128963,1.20996871132728,1.91758807143812,0.319875098803356
"89","nm",2013,"nm_2013",16,0.877691647587946,2.13971385562954,3.95432224763259,0.784854744909349
"90","nm",2014,"nm_2014",14,0.875292223038781,1.61167967795259,2.56911984972147,0.432098884357828
"91","nm",2015,"nm_2015",13,0.961612938582414,2.02006028540803,3.46468842604013,0.638539665167786
"92","nm",2016,"nm_2016",12,0.49439914829287,1.18910000317915,2.18337526592054,0.430861254496855
"93","nm",2017,"nm_2017",12,0.693787762875391,1.49466378247586,2.59765189546286,0.485679625660068
"94","rf",2007,"rf_2007",12,0.336681552191866,0.663069243054306,1.09820828743627,0.194267024297041
"95","rf",2008,"rf_2008",15,0.488792344918324,0.641940295033577,0.815639745484243,0.0833794389198774
"96","rf",2009,"rf_2009",18,0.354990687420744,0.477110675746988,0.617005373563978,0.0668404811589882
"97","rf",2010,"rf_2010",21,0.828723562798815,1.24853401978784,1.75300590551468,0.235786311917312
"98","rf",2011,"rf_2011",22,1.26106659379024,1.90941420464558,2.69010393357469,0.364550341781746
"99","rf",2012,"rf_2012",24,1.1036122152652,1.50094688595552,1.95842893279883,0.218065489166743
"100","rf",2016,"rf_2016",19,1.14906401497699,1.87485172070794,2.77543365267,0.414890213697194
"101","rf",2017,"rf_2017",22,1.78115929553922,2.52587518689451,3.39863046630371,0.412620196623596
"102","rf",2018,"rf_2018",26,1.40377719475259,2.6839405352371,4.37204170091651,0.75721033320508
"103","rf",2019,"rf_2019",27,2.01489515457729,2.62186969511898,3.30753944813978,0.32975619733737
"104","rr",1997,"rr_1997",29,0.755139405644278,1.04756450169072,1.38710412207119,0.161215488884417
"105","rr",1999,"rr_1999",32,1.43262462380739,2.19286335685752,3.11234004761595,0.428498832604224
"106","rr",2001,"rr_2001",32,1.30947890228393,1.90237867225768,2.60425317319836,0.330299558906741
"107","rr",2002,"rr_2002",36,3.21137535020272,3.89744023162896,4.64893284937159,0.366723851828793
"108","rr",2003,"rr_2003",39,2.5756270705856,3.0697830218877,3.60666203643602,0.263019123941435
"109","rr",2004,"rr_2004",26,1.87679410450136,2.26544781398359,2.69013091198211,0.207483879459376
"110","rr",2005,"rr_2005",26,1.27763144634102,1.5855788351081,1.92627593843293,0.165470533696918
"111","rr",2006,"rr_2006",27,0.951655677590204,1.18249265735344,1.43801902911002,0.124072283550974
"112","rr",2007,"rr_2007",28,0.901390971219322,1.16442858282142,1.46062854016088,0.142662645138153
"113","rr",2008,"rr_2008",32,1.20395940902548,1.63051762303375,2.12076088643389,0.233877927910308
"114","rr",2009,"rr_2009",32,1.30534398560552,1.73167412036189,2.21732488658175,0.23264818902455
"115","rr",2010,"rr_2010",27,1.2530014855658,1.69291514013437,2.1979948716332,0.241069741343726
