"","group","date","dist.ML","dist.Min","dist.Max","sampling.time","speed.ML","speed.Min","speed.Max"
"1","aa",2013-01-28,4259.40080056892,3918.96337088482,4606.69888887192,45000,0.0946533511237538,0.0870880749085517,0.102371086419376
"2","aa",2013-02-17,2652.04593314781,1982.73691471573,3366.99059710807,45000,0.0589343540699514,0.0440608203270163,0.0748220132690683
"3","aa",2013-02-18,1697.32293794868,1598.23436912313,1797.86050770055,46800,0.0362675841442025,0.0341503070325456,0.0384158228141142
"4","aa",2013-02-20,2812.99976930226,2141.69523408717,3527.29711787435,45000,0.0625111059844947,0.0475932274241593,0.0783843803972079
"5","aa",2013-02-21,1696.62542450669,1566.41120663967,1829.35696258967,37800,0.0448842704895951,0.0414394499111025,0.0483956868409966
"6","aa",2013-04-13,1458.29918254463,1333.4205608562,1585.87899565321,45000,0.0324066485009918,0.0296315680190267,0.0352417554589601
"7","aa",2013-04-14,1408.54477190218,1252.08268813524,1569.43413703081,48600,0.0289824027140367,0.0257630182743876,0.0322928834780002
"8","aa",2013-04-17,1273.18157268831,1173.28406268429,1375.05450159859,37800,0.0336820521875214,0.0310392609175737,0.036377103216894
"9","aa",2013-05-15,1677.9581464826,1521.8484598962,1837.74525307218,48600,0.0345258877877078,0.0313137543188519,0.0378136883348185
"10","aa",2013-05-16,1916.48068840629,1650.5013088857,2191.95678960242,46800,0.0409504420599634,0.0352671219847372,0.0468366835385132
"11","aa",2013-05-18,2048.20668330603,1929.69841015294,2168.4322437272,48600,0.0421441704383957,0.03970572860397,0.0446179474017943
"12","aa",2013-05-19,2412.44510639804,2088.35915605052,2747.71343997493,45000,0.0536098912532898,0.0464079812455671,0.0610602986661096
"13","aa",2013-08-03,2565.21297820309,2400.59771384099,2732.4788930257,43200,0.0593799300509974,0.055569391524097,0.0632518262274467
"14","aa",2013-09-10,2608.11385069391,2448.70660369286,2769.96356440061,43200,0.0603730058030998,0.0566830232336309,0.0641195269537178
"15","aa",2013-11-02,3208.25335935192,3046.23049503327,3372.32111851238,45000,0.0712945190967093,0.0676940110007394,0.0749404693002752
"16","aa",2013-11-03,3610.53535167969,3355.73616146044,3869.85521581704,45000,0.0802341189262154,0.0745719146991209,0.085996782573712
"17","aa",2013-11-04,4216.32823329144,3824.6315580864,4617.23811470631,45000,0.0936961829620321,0.0849918124019199,0.102605291437918
"18","aa",2013-11-05,2937.94514814224,2798.26343945342,3079.28511952744,45000,0.0652876699587165,0.0621836319878537,0.0684285582117209
"19","aa",2013-11-06,1815.59403059633,1253.8641243603,2425.72340250527,45000,0.0403465340132517,0.0278636472080067,0.0539049645001172
"20","aa",2013-11-07,2072.49288835791,1946.37052060373,2200.53921627945,45000,0.0460553975190647,0.0432526782356384,0.0489008714728767
"21","aa",2013-11-08,3050.80515828604,2906.4411277289,3196.87485345581,45000,0.0677956701841343,0.0645875806161978,0.0710416634101291
"22","aa",2013-11-09,3335.3874917228,3124.19639074629,3549.9331044198,45000,0.0741197220382844,0.0694265864610286,0.07888740232044
"23","aa",2013-11-10,3383.1447959233,3131.43640800073,3639.56692347033,45000,0.0751809954649622,0.0695874757333495,0.0808792649660074
"24","aa",2013-11-11,2971.79623024143,2649.20748949726,3303.29733332465,45000,0.0660399162275874,0.0588712775443835,0.0734066074072145
"25","aa",2013-11-17,2918.24984296769,2541.98727082888,3306.94834523286,45000,0.0648499965103932,0.0564886060184195,0.0734877410051746
"26","aa",2013-11-18,3457.16666762737,3082.68948698731,3841.96693680068,45000,0.0768259259472749,0.0685042108219402,0.0853770430400151
"27","aa",2013-11-19,2682.47665846841,2575.93909263731,2790.0684326888,45000,0.0596105924104091,0.0572430909474957,0.0620015207264178
"28","aa",2013-11-20,2628.37108583543,2483.49058870083,2775.25007881136,45000,0.0584082463518984,0.0551886797489074,0.0616722239735858
"29","aa",2013-11-21,2682.89978398083,2563.72216578808,2803.3981404437,45000,0.059619995199574,0.0569716036841796,0.0622977364543045
"30","aa",2013-11-22,2998.40660380812,2860.64662597543,3137.74628411084,45000,0.0666312578624026,0.0635699250216763,0.0697276952024631
"31","aa",2013-11-23,3774.42745537157,3456.88092789894,4098.71897294732,45000,0.0838761656749238,0.076819576175532,0.0910826438432737
"32","aa",2013-11-24,2778.13744904484,2622.32188885479,2936.14057311103,45000,0.061736387756552,0.0582738197523286,0.0652475682913562
"33","aa",2013-11-25,2072.8376925495,1896.02385871487,2253.46084069007,45000,0.0460630598344333,0.0421338635269971,0.0500769075708905
"34","aa",2013-12-01,919.364947416175,844.068351507138,996.217412160401,45000,0.0204303321648039,0.0187570744779364,0.0221381647146756
"35","aa",2013-12-02,2903.44217322286,2744.84160010614,3064.21046701083,45000,0.0645209371827301,0.0609964800023586,0.068093565933574
"36","aa",2013-12-03,2699.29564780542,2567.9144426146,2832.27410845478,45000,0.0599843477290094,0.0570647653914356,0.0629394246323285
"37","aa",2013-12-04,2730.29191281066,2452.3461707298,3015.42277648139,45000,0.0606731536180148,0.0544965815717734,0.0670093950329198
"38","aa",2013-12-05,2289.05646633271,2159.33867945579,2420.61464230765,45000,0.0508679214740601,0.0479853039879065,0.0537914364957255
"39","aa",2013-12-06,2749.61919927414,2586.49202867932,2915.17123660259,45000,0.0611026488727586,0.0574776006373182,0.0647815830356132
"40","aa",2013-12-07,2154.12584671856,1998.91245660258,2312.15219725747,45000,0.0478694632604125,0.0444202768133907,0.0513811599390549
"41","aa",2013-12-08,3089.28399839138,2928.95337918841,3251.69497330466,45000,0.0686507555198085,0.0650878528708536,0.0722598882956591
